snapshot_id,date,base_currency,currency,rate,inverse_rate,provider,rate_type,market_region,is_weekend,effective_from,effective_to,source_url,load_batch_id,load_timestamp,year,month,day,fx_status,volatility_bucket
FX-00001,2025-01-01,USD,AED,3.7804,0.264522,ExchangeRate-API,Spot,Middle East,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,High
FX-00002,2025-01-01,USD,SAR,3.8927,0.256891,ExchangeRate-API,Closing,Europe,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,Medium
FX-00003,2025-01-01,USD,EGP,50.3926,0.019844,ExchangeRate-API,Closing,Global,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,High
FX-00004,2025-01-01,USD,GBP,0.7780,1.285347,ExchangeRate-API,Closing,Global,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,High
FX-00005,2025-01-01,USD,QAR,3.7579,0.266106,ExchangeRate-API,Spot,Middle East,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,Medium
FX-00006,2025-01-01,USD,KWD,0.3051,3.277614,ExchangeRate-API,Closing,Middle East,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,Medium
FX-00007,2025-01-01,USD,EUR,0.9496,1.053075,ExchangeRate-API,Spot,Europe,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,Medium
FX-00008,2025-01-01,USD,BHD,0.3831,2.610285,ExchangeRate-API,Closing,Middle East,false,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250101,2025-01-01T00:00:00+00:00,2025,1,1,valid,High
FX-00009,2025-01-02,USD,AED,3.7121,0.269389,ExchangeRate-API,Spot,Europe,false,2025-01-02T00:00:00+00:00,2025-01-02T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250102,2025-01-02T00:00:00+00:00,2025,1,2,valid,Medium
FX-00010,2025-01-02,USD,SAR,3.6497,0.273995,ExchangeRate-API,Spot,Europe,false,2025-01-02T00:00:00+00:00,2025-01-02T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250102,2025-01-02T00:00:00+00:00,2025,1,2,valid,Low
FX-00011,2025-01-02,USD,EGP,48.9377,0.020434,ExchangeRate-API,Spot,Middle East,false,2025-01-02T00:00:00+00:00,2025-01-02T23:59:59+00:00,https://api.exchangerate-api.com/v4/latest/USD,BATCH-20250102,2025-01-02T00:00:00+00:00,2025,1,2,valid,High
